Description	Resource	Path	Location	Type
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	lcd.c	/stop_watch	line 213	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 143	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 145	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 151	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 154	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 158	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 160	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 166	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 169	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 173	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 175	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 181	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "const char *"	main.c	/stop_watch	line 192	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	lcd.c	/stop_watch	line 211	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 143	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 144	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 145	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 150	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 151	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 154	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 158	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 159	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 160	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 165	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 166	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 169	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 173	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 174	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 175	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 180	C/C++ Problem
#169-D argument of type "sint8_t *" is incompatible with parameter of type "char *"	main.c	/stop_watch	line 181	C/C++ Problem
#1501-D (MISRA-C:2004 14.10/R) All if ... else if constructs shall be terminated with an else clause	main.c	/stop_watch	line 92	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	main.c	/stop_watch	line 86	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	main.c	/stop_watch	line 92	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	systick.c	/stop_watch	line 21	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	systick.c	/stop_watch	line 25	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	systick.c	/stop_watch	line 27	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	systick.h	/stop_watch	line 36	C/C++ Problem
#1476-D (MISRA-C:2004 17.4/R) Array indexing shall be the only allowed form of pointer arithmetic	lcd.c	/stop_watch	line 159	C/C++ Problem
#1476-D (MISRA-C:2004 17.4/R) Array indexing shall be the only allowed form of pointer arithmetic	lcd.c	/stop_watch	line 161	C/C++ Problem
#1471-D (MISRA-C:2004 15.3/R) The final clause of a switch statement shall be the default clause	lcd.c	/stop_watch	line 175	C/C++ Problem
#1464-D (MISRA-C:2004 10.6/R) A "U" suffix shall be applied to all constants of unsigned type	systick.c	/stop_watch	line 21	C/C++ Problem
#1464-D (MISRA-C:2004 10.6/R) A "U" suffix shall be applied to all constants of unsigned type	systick.c	/stop_watch	line 25	C/C++ Problem
#1464-D (MISRA-C:2004 10.6/R) A "U" suffix shall be applied to all constants of unsigned type	systick.c	/stop_watch	line 27	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	lcd.c	/stop_watch	line 212	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	main.c	/stop_watch	line 109	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	main.c	/stop_watch	line 110	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	main.c	/stop_watch	line 128	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/stop_watch	line 1	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/stop_watch	line 2	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/stop_watch	line 3	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/stop_watch	line 4	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/stop_watch	line 5	C/C++ Problem
